Image Filename,Page Number,Botanical Name,Common Name
carex_plantaginea_0.png,70,Carex plantaginea,SEERSUCKER SEDGE
carex_plantaginea_1.png,70,Carex plantaginea,SEERSUCKER SEDGE
carex_stipata_awl_0.png,71,Carex stipata awl,AWL-FRUITED SEDGE
carex_stipata_awl_1.png,71,Carex stipata awl,AWL-FRUITED SEDGE
carex_stricta_0.png,72,Carex stricta,TUSSOCK SEDGE
carex_vulpinoidea_fox_0.png,73,Carex vulpinoidea fox,FOX SEDGE
carex_vulpinoidea_fox_1.png,73,Carex vulpinoidea fox,FOX SEDGE
chasmanthium_latifolium_0.png,74,Chasmanthium latifolium,NORTHERN SEA OATS
chasmanthium_latifolium_1.png,74,Chasmanthium latifolium,NORTHERN SEA OATS
deshampsia_cespitosa_0.png,75,Deshampsia cespitosa,TUFTED HAIRGRASS
deshampsia_cespitosa_1.png,75,Deshampsia cespitosa,TUFTED HAIRGRASS
elymus_virginicus_virginia_0.png,76,Elymus virginicus virginia,VIRGINIA WILD RYE
elymus_virginicus_virginia_1.png,76,Elymus virginicus virginia,VIRGINIA WILD RYE
eragrostis_spectabilis_0.png,77,Eragrostis spectabilis,PURPLE LOVEGRASS
eragrostis_spectabilis_1.png,77,Eragrostis spectabilis,PURPLE LOVEGRASS
juncus_effusus_soft_0.png,78,Juncus effusus soft,SOFT RUSH
juncus_effusus_soft_1.png,78,Juncus effusus soft,SOFT RUSH
panicum_virgatum_0.png,79,Panicum virgatum,SWITCHGRASS
panicum_virgatum_1.png,79,Panicum virgatum,SWITCHGRASS
schizachyrium_scoparium_little_0.png,80,Schizachyrium scoparium little,LITTLE BLUESTEM
schizachyrium_scoparium_little_1.png,80,Schizachyrium scoparium little,LITTLE BLUESTEM
sorghastrum_nutans_indiangrass_0.png,81,Sorghastrum nutans indiangrass,INDIANGRASS
sorghastrum_nutans_indiangrass_1.png,81,Sorghastrum nutans indiangrass,INDIANGRASS
sporobolus_heterolepis_0.png,82,Sporobolus heterolepis,PRAIRIE DROPSEED
sporobolus_heterolepis_1.png,82,Sporobolus heterolepis,PRAIRIE DROPSEED
andromeda_polifolia_0.png,84,Andromeda polifolia,BOG ROSEMARY
aronia_arbutifolia_brilliantissima_0.png,85,Aronia arbutifolia Brilliantissima,RED CHOKEBERRY
aronia_arbutifolia_brilliantissima_1.png,85,Aronia arbutifolia Brilliantissima,RED CHOKEBERRY
aronia_melanocarpa_ground_0.png,86,Aronia melanocarpa Ground,BLACK CHOKEBERRY
aronia_melanocarpa_ground_1.png,86,Aronia melanocarpa Ground,BLACK CHOKEBERRY
aronia_melanocarpa_ground_2.png,86,Aronia melanocarpa Ground,BLACK CHOKEBERRY
cephalanthus_occidentalis_buttonbush_0.png,87,Cephalanthus occidentalis buttonbush,BUTTONBUSH
cephalanthus_occidentalis_buttonbush_1.png,87,Cephalanthus occidentalis buttonbush,BUTTONBUSH
cephalanthus_occidentalis_buttonbush_2.png,87,Cephalanthus occidentalis buttonbush,BUTTONBUSH
clethra_alnifolia_compacta_0.png,88,Clethra alnifolia Compacta,SWEET PEPPERBUSH
